0.222, 0.775, Class 1.
0.242, 0.729, Class 1.
0.275, 0.792, Class 1.
0.163, 0.697, Class 1.
0.316, 0.848, Class 1.
0.279, 0.852, Class 1.
0.180, 0.769, Class 1.
0.240, 0.729, Class 1.
0.198, 0.781, Class 1.
0.144, 0.951, Class 1.
0.192, 0.787, Class 1.
0.130, 0.846, Class 1.
0.218, 0.792, Class 1.
0.169, 0.770, Class 1.
0.313, 0.875, Class 1.
0.370, 0.880, Class 1.
0.296, 0.861, Class 1.
0.334, 0.865, Class 1.
0.283, 0.846, Class 1.
0.428, 0.778, Class 1.
0.402, 0.852, Class 1.
0.381, 0.823, Class 1.
0.446, 0.951, Class 1.
0.393, 0.988, Class 1.
0.324, 0.904, Class 1.
0.297, 0.922, Class 1.
0.216, 0.873, Class 1.
0.409, 0.936, Class 1.
0.243, 0.911, Class 1.
0.254, 0.921, Class 1.
0.271, 0.845, Class 1.
0.226, 0.910, Class 1.
0.234, 0.871, Class 1.
0.330, 0.814, Class 1.
0.236, 0.962, Class 1.
0.270, 0.837, Class 1.
0.284, 0.866, Class 1.
0.242, 0.925, Class 1.
0.260, 0.892, Class 1.
0.256, 0.962, Class 1.
0.267, 0.890, Class 1.
0.260, 0.912, Class 1.
0.193, 0.914, Class 1.
0.233, 0.835, Class 1.
0.243, 0.884, Class 1.
0.360, 0.827, Class 1.
0.199, 0.960, Class 1.
0.273, 0.979, Class 1.
0.321, 0.899, Class 1.
0.045, 0.853, Class 1.
0.050, 0.922, Class 1.
0.128, 0.870, Class 1.
0.071, 0.774, Class 1.
0.092, 0.832, Class 1.
0.107, 0.896, Class 1.
0.064, 0.814, Class 1.
0.118, 0.924, Class 1.
0.079, 0.930, Class 1.
0.008, 0.798, Class 1.
0.105, 0.816, Class 1.
0.142, 0.798, Class 1.
0.196, 0.861, Class 1.
0.076, 0.926, Class 1.
0.139, 0.796, Class 1.
0.114, 0.927, Class 1.
0.136, 0.865, Class 1.
0.057, 0.874, Class 1.
0.095, 0.754, Class 1.
0.117, 0.881, Class 1.
0.099, 0.861, Class 1.
0.152, 0.746, Class 1.
0.182, 0.738, Class 1.
0.221, 0.810, Class 1.
0.139, 0.774, Class 1.
0.213, 0.757, Class 1.
0.069, 0.688, Class 1.
0.107, 0.686, Class 1.
0.211, 0.793, Class 1.
0.166, 0.707, Class 1.
0.162, 0.679, Class 1.
0.072, 0.753, Class 1.
0.144, 0.723, Class 1.
0.187, 0.826, Class 1.
0.146, 0.832, Class 1.
0.128, 0.710, Class 1.
0.239, 0.765, Class 1.
0.181, 0.720, Class 1.
0.194, 0.780, Class 1.
0.161, 0.802, Class 1.
0.165, 0.811, Class 1.
0.107, 0.706, Class 1.
0.206, 0.845, Class 1.
0.153, 0.699, Class 1.
0.150, 0.744, Class 1.
0.142, 0.878, Class 1.
0.197, 0.787, Class 1.
0.158, 0.750, Class 1.
0.145, 0.802, Class 1.
0.110, 0.690, Class 1.
0.259, 0.897, Class 1.
0.199, 0.761, Class 1.
0.180, 0.772, Class 1.
0.182, 0.717, Class 1.
0.169, 0.722, Class 1.
0.131, 0.825, Class 1.
0.517, 0.692, Class 1.
0.296, 0.722, Class 1.
0.340, 0.704, Class 1.
0.387, 0.709, Class 1.
0.284, 0.701, Class 1.
0.401, 0.743, Class 1.
0.334, 0.775, Class 1.
0.496, 0.833, Class 1.
0.411, 0.748, Class 1.
0.425, 0.748, Class 1.
0.385, 0.780, Class 1.
0.443, 0.752, Class 1.
0.483, 0.698, Class 1.
0.506, 0.797, Class 1.
0.389, 0.751, Class 1.
0.395, 0.770, Class 1.
0.464, 0.789, Class 1.
0.412, 0.758, Class 1.
0.450, 0.844, Class 1.
0.479, 0.803, Class 1.
0.389, 0.855, Class 1.
0.452, 0.699, Class 1.
0.422, 0.811, Class 1.
0.409, 0.790, Class 1.
0.469, 0.773, Class 1.
0.400, 0.730, Class 1.
0.360, 0.732, Class 1.
0.398, 0.731, Class 1.
0.541, 0.830, Class 1.
0.332, 0.771, Class 1.
0.438, 0.861, Class 1.
0.384, 0.893, Class 1.
0.506, 0.902, Class 1.
0.516, 0.890, Class 1.
0.430, 0.819, Class 1.
0.404, 0.840, Class 1.
0.433, 0.920, Class 1.
0.329, 0.911, Class 1.
0.468, 0.870, Class 1.
0.353, 0.956, Class 1.
0.409, 0.933, Class 1.
0.475, 0.873, Class 1.
0.358, 0.937, Class 1.
0.427, 0.857, Class 1.
0.457, 0.858, Class 1.
0.423, 0.975, Class 1.
0.442, 0.901, Class 1.
0.458, 0.931, Class 1.
0.315, 0.946, Class 1.
